Account Number,Name,Age,Income,Expenses,Balance
GB83MXBK94745451173438,Patrick Bradley,56,33935.536797424276,57269.63851233405,-23334.101714909775
GB85YEQN24437295387252,Karen Brown,69,52034.63635867223,36003.638143853976,16030.998214818253
GB58YEZE42142054067771,Joan Hernandez,46,42436.492547156966,42246.84725751886,189.6452896381088
GB02QYOJ80185250601770,Allison Morris,32,35777.46290402326,49325.9083187309,-13548.44541470764
GB21TSTX41418241438598,Renee Ortiz,60,43534.27115757473,25816.342670669685,17717.928486905046
GB53MYTT27570071997829,Christian Ellis,25,39184.51996385605,22391.91188019224,16792.60808366381
GB03VPUA31569673949642,Calvin Lam,38,66871.41635072565,24743.436854299052,42127.97949642659
GB57JMGO20744512524899,Victoria Dawson,56,58816.397569494504,52625.84103427182,6190.556535222684
GB28DGKC52878475555089,Janice Fitzgerald,36,49920.27358683383,34481.41854107553,15438.855045758297
GB34PJHI76346105556528,Vanessa Young,40,64799.44138890026,65581.99285668253,-782.5514677822648
GB07PNJS21772800138572,Gerald Dorsey,28,50773.68307647618,34357.52401342611,16416.159063050072
GB44MBOJ60278032630260,John Allison,28,41387.157986717364,41845.51303197037,-458.3550452530035
GB35PPGT70481865143033,Marissa Roman,41,65231.240772696576,55421.09952567876,9810.141247017818
GB93XIYY33658824892925,Joshua Taylor,53,55389.10043684659,60060.92888159123,-4671.828444744642
GB25YOXN50545220419757,Christopher Randolph,57,39627.538456735434,60615.03576636398,-20987.497309628547
GB53KGKY04764014243437,Michael Gonzalez,41,48096.61321916392,52083.66230593142,-3987.0490867675035
GB88SZEE48353434426310,Randall Moreno,20,41243.817466152424,50240.625258114625,-8996.807791962201
GB54NCSR55462534375819,David Washington,39,36172.00269035664,45925.26949201183,-9753.26680165519
GB49ZILQ76069805179094,Jeffery Paul,19,59261.77547531641,47783.61076166638,11478.164713650032
GB50LOCW98910894636393,Kristopher Flores,41,69094.1664047013,34488.142836714665,34606.02356798664
GB18EPYT39223076526567,Bryan Goodwin,61,36014.324261808586,31818.011165776927,4196.313096031659
GB98KSXW20966447866550,Nathan Morales,47,55629.69236690571,39966.25542589048,15663.436941015229
GB10PGZR17419374728968,Brenda Thompson,55,43493.57430878173,38298.15377475072,5195.4205340310145
GB13CKOP95520823139314,Troy Ramos,19,45128.74616235304,35467.71950672725,9661.026655625792
GB40XSWA30725254742262,Amanda Smith,38,44076.06075761131,46963.87447456716,-2887.8137169558468
GB83YQGN91466134195373,John Davis,50,41360.09230320184,49553.05208570511,-8192.959782503269
GB41WPYB64681781896075,Susan Aguilar,29,50485.21627944827,40884.06886291847,9601.147416529799
GB93JOXF33536687342542,Marvin Johnson,39,41690.49883588962,54775.30081055262,-13084.801974662994
GB53IELR46699945324482,Leslie Campbell,61,52704.56825779839,28583.10885866495,24121.45939913344
GB85NSRU30513393610057,Cassidy Cain,42,49497.61890550863,38063.405407202816,11434.213498305813
GB75UPWC73899643080333,Derek Wolf,66,47610.5195313359,32831.77679397195,14778.742737363951
GB11CSQZ30617068352127,Joe Woodard,44,40924.36337958402,21334.6338292694,19589.72955031462
GB94ZQUO50391276657249,Patrick Phillips,59,44232.286694316674,39173.19314157301,5059.093552743667
GB23PBJX81845196775272,Amy Atkins,45,57553.91225825756,38782.52491616717,18771.38734209039
GB72MTQP25389780162881,Martin Smith,33,55009.17187624381,55134.49743242131,-125.3255561775004
GB06TBOC54735891094375,Brooke Ford,32,40224.44755201449,46308.116845547775,-6083.669293533283
GB47DHQC28188337360639,Kyle Garcia,64,50993.32305429226,29758.13175670795,21235.19129758431
GB94XMPA44959098187436,Chase Vega,68,57513.87123371789,58540.925663341885,-1027.0544296239968
GB78FTDW13592356450068,Wesley Moore,61,33305.94718878628,52210.33695525353,-18904.389766467248
GB65CKWJ74191232350790,Jeremy Case,69,55433.60192379935,45820.977034686155,9612.624889113198
GB63CGPN48773459849132,James Wright,20,43373.76241054153,37735.15901150168,5638.60339903985
GB40GLFW94754289069583,Aaron Boyer,54,55705.986685931595,30405.607632765204,25300.37905316639
GB38HDXJ53181766011748,Paul Garcia,68,42367.408434574834,36277.93223928947,6089.476195285366
GB09EUAH39353916966617,Jesus Wilson,24,31951.17899335481,50887.48619704186,-18936.307203687047
GB11QRPA28393022092073,Jeremy Weeks,38,33724.57562116838,58845.863059346084,-25121.287438177707
GB33HVEW38900074520492,Bobby Hamilton,26,50480.84946661382,55432.43528272189,-4951.585816108069
GB57OZSU66933240250303,Michelle Short,56,52597.22501721482,35111.50578213726,17485.71923507756
GB27WBAG35318838071902,Laura Meyer,35,40956.83374895591,28803.82566710989,12153.008081846023
GB06NOKR49136046933783,Heather Gilbert,21,56385.92458777374,41408.86246911204,14977.062118661699
GB51QVZU68110978498800,Brenda Williams DDS,42,33384.7993773104,22315.606344371485,11069.193032938918
